user_id,nb_visits,nb_purchase,amount_purchase,nb_products_seen,nb__distinct_products,nb_distinct_category0,nb_distinct_category1,nb_distinct_category2,nb_distinct_product_purchased,nb_distinct_category_purchased,nb_visits_last_month,nb_purchase_last_month,amount_purchase_last_month,nb_products_seen_last_month,nb__distinct_products_last_month,nb_distinct_category0_last_month,nb_distinct_category1_last_month,nb_distinct_category2_last_month,nb_distinct_product_purchased_last_month,nb_distinct_category_purchased_last_month,nb_associated_months,nb_days_last_activity,nb_days_last_purchase,nb_active_months,nb_active_purchase_months,nb_purchase_total,amount_purchase_total,no_activity_evaluation_period,amount_purchase_evaluation_period,no_purchase_evaluation_period
52817,22,7,257.0,22,21,9,14,14,6,5,1,0,0.0,1,1,1,1,1,0,0,6,30,38,5,4,9,280.0,0,10,0
81564,1381,7,100.0,1156,633,11,73,75,7,3,482,0,0.0,434,238,11,53,53,0,0,6,1,40,7,6,13,205.0,0,7,0
60399,140,5,149.0,101,98,9,36,36,5,3,17,0,0.0,11,11,5,9,9,0,0,6,1,45,7,4,9,218.0,0,1,0
112207,196,3,90.0,123,113,10,44,44,3,3,51,1,25.0,34,33,10,21,21,1,1,6,2,3,7,3,3,90.0,0,3,0
106464,339,7,147.0,237,194,11,59,59,7,6,146,0,0.0,122,89,11,40,40,0,0,6,1,41,7,5,10,198.0,0,6,0
123571,955,2,59.0,725,559,11,85,87,2,2,265,0,0.0,199,169,11,61,61,0,0,6,1,69,7,2,2,59.0,0,1,0
14386,40,2,68.0,31,28,9,20,20,2,2,5,0,0.0,3,3,2,3,3,0,0,6,2,83,7,1,2,68.0,0,0,1
3290,153,5,71.0,86,85,10,36,36,5,4,40,2,39.0,23,22,6,14,14,2,2,6,1,12,7,3,7,211.0,0,5,0
289,148,7,104.0,117,99,9,35,35,7,3,5,0,0.0,5,5,4,4,4,0,0,6,1,81,7,3,8,124.0,0,1,0
110012,201,8,161.0,141,133,11,48,48,7,4,44,6,101.0,30,27,8,18,18,5,3,6,1,16,7,3,8,161.0,0,1,0
46956,464,3,38.0,159,153,11,44,44,3,3,109,0,0.0,33,32,6,14,14,0,0,6,5,39,7,2,3,38.0,0,1,0
17804,284,5,92.0,238,226,11,61,62,5,2,18,0,0.0,16,15,9,12,12,0,0,6,1,47,7,5,10,122.0,0,1,0
124564,66,1,47.0,31,31,8,18,18,1,1,8,0,0.0,3,3,3,3,3,0,0,6,22,43,7,2,3,506.0,0,2,0
17900,482,3,76.0,402,273,11,55,57,3,2,73,0,0.0,70,37,8,22,22,0,0,6,1,40,7,2,3,76.0,0,4,0
41147,1124,4,204.0,889,589,11,77,77,4,3,169,2,87.0,90,86,10,33,33,2,2,6,1,12,7,4,5,204.0,0,0,1
105474,8,1,36.0,5,5,2,3,3,1,1,3,0,0.0,1,1,1,1,1,0,0,6,12,39,6,1,1,36.0,0,1,0
15532,29,3,73.0,27,21,9,16,16,3,2,5,1,50.0,4,4,4,4,4,1,1,6,6,29,5,3,4,93.0,0,1,0
74095,115,1,554.0,82,76,10,35,36,1,1,17,1,554.0,10,10,4,7,7,1,1,6,3,7,7,2,3,569.0,0,0,1
75236,41,4,113.0,35,30,8,18,18,4,2,4,1,21.0,3,3,2,3,3,1,1,6,25,25,7,5,6,160.0,0,2,0
24707,532,7,246.0,301,281,11,65,65,7,3,164,4,178.0,96,87,11,42,42,4,2,6,1,9,7,5,12,288.0,0,11,0
116138,128,7,252.0,107,96,10,36,37,7,2,35,3,204.0,32,29,7,17,17,3,2,6,1,27,7,4,9,312.0,0,4,0
44650,22,1,48.0,9,9,7,8,8,1,1,1,0,0.0,1,1,1,1,1,0,0,6,11,118,7,1,1,48.0,0,0,1
71626,75,4,107.0,26,26,8,13,13,4,1,0,0,0.0,0,0,0,0,0,0,0,5,45,104,6,4,8,230.0,0,0,1
17357,13,2,51.0,13,10,5,9,9,2,2,4,1,32.0,4,2,2,2,2,1,1,6,7,30,6,3,3,55.0,0,0,1
45518,19,2,57.0,13,13,5,10,10,2,2,13,1,12.0,10,10,4,8,8,1,1,6,6,6,4,2,2,57.0,0,0,1
136867,274,22,656.0,183,178,11,50,50,22,9,67,9,295.0,45,44,10,24,24,9,7,6,1,2,7,6,26,719.0,0,9,0
121600,158,2,46.0,76,73,10,31,31,2,2,15,1,28.0,6,5,2,4,4,1,1,6,13,29,7,2,2,46.0,0,1,0
11808,348,5,59.0,266,258,11,59,60,5,3,29,1,12.0,26,25,7,14,14,1,1,6,1,30,7,4,6,74.0,0,1,0
58130,9,2,85.0,7,7,5,6,6,2,2,3,0,0.0,2,2,2,2,2,0,0,6,24,95,5,1,2,85.0,0,0,1
148590,240,2,53.0,142,124,11,38,40,2,2,56,0,0.0,25,25,8,14,14,0,0,6,1,59,7,2,3,53.0,0,0,1
72632,247,2,126.0,112,107,11,41,41,2,2,4,0,0.0,1,1,1,1,1,0,0,6,13,88,7,3,3,156.0,0,1,0
146456,17,6,316.0,13,13,7,13,13,6,4,5,0,0.0,4,4,3,4,4,0,0,6,30,80,7,2,6,316.0,0,0,1
150893,467,10,111.0,373,335,11,69,69,10,3,59,2,34.0,49,46,8,25,25,2,2,6,1,2,7,6,26,267.0,0,63,0
47321,38,3,291.0,26,25,7,17,17,3,2,11,1,17.0,7,7,5,7,7,1,1,6,3,31,6,2,3,291.0,0,3,0
82654,4,1,70.0,2,2,2,2,2,1,1,0,0,0.0,0,0,0,0,0,0,0,5,39,39,5,3,4,106.0,0,2,0
123433,89,3,101.0,33,33,9,20,20,3,2,11,1,20.0,3,3,2,3,3,1,1,6,1,6,7,3,3,101.0,0,0,1
19505,20,2,63.0,18,18,6,12,12,2,2,14,2,63.0,14,14,6,11,11,2,2,6,3,16,7,1,2,63.0,0,1,0
70698,108,6,105.0,91,85,11,36,36,6,3,26,0,0.0,24,24,9,18,18,0,0,6,10,46,7,5,11,186.0,0,2,0
127475,6,1,36.0,6,6,3,4,4,1,1,5,1,36.0,5,5,3,4,4,1,1,6,15,15,5,1,1,36.0,0,0,1
122455,76,11,158.0,46,43,8,19,21,11,6,12,1,10.0,9,8,4,6,6,1,1,6,13,28,7,7,17,298.0,0,1,0
