user_id,nb_visits,nb_purchase,amount_purchase,nb_products_seen,nb__distinct_products,nb_distinct_category0,nb_distinct_category1,nb_distinct_category2,nb_distinct_product_purchased,nb_distinct_category_purchased,nb_visits_last_month,nb_purchase_last_month,amount_purchase_last_month,nb_products_seen_last_month,nb__distinct_products_last_month,nb_distinct_category0_last_month,nb_distinct_category1_last_month,nb_distinct_category2_last_month,nb_distinct_product_purchased_last_month,nb_distinct_category_purchased_last_month,nb_associated_months,nb_days_last_activity,nb_days_last_purchase,nb_active_months,nb_active_purchase_months,nb_purchase_total,amount_purchase_total,no_activity_evaluation_period,amount_purchase_evaluation_period,no_purchase_evaluation_period
89885,515,0,0.0,400,322,10,74,74,0,0,141,0,0.0,106,98,10,46,46,0,0,6,1,99999,7,0,0,0.0,0,1,0
150086,18,0,0.0,13,13,7,11,11,0,0,1,0,0.0,0,0,0,0,0,0,0,6,22,99999,7,0,0,0.0,0,0,1
125617,54,1,6.0,32,28,7,17,17,1,1,9,1,6.0,7,6,4,4,4,1,1,6,18,20,7,1,1,6.0,0,0,1
58628,1325,4,116.0,377,328,11,66,66,4,3,283,1,13.0,77,64,10,30,30,1,1,6,1,9,7,3,4,116.0,0,3,0
70649,384,1,11.0,296,293,11,62,63,1,1,86,1,11.0,65,64,9,27,27,1,1,6,1,12,7,3,4,404.0,0,4,0
123102,177,1,13.0,100,89,11,38,39,1,1,24,0,0.0,18,16,6,9,9,0,0,6,2,77,7,1,1,13.0,0,0,1
137791,4,2,23.0,3,3,1,2,2,2,1,2,0,0.0,1,1,1,1,1,0,0,6,10,37,5,1,2,23.0,1,0,1
122763,400,3,137.0,243,229,10,57,57,3,2,82,0,0.0,46,44,9,25,25,0,0,6,1,73,7,3,6,171.0,0,1,0
134330,705,21,498.0,601,521,11,75,76,21,7,133,4,94.0,121,98,10,35,35,4,3,6,1,8,7,7,28,744.0,0,11,0
5952,35,0,0.0,24,23,8,18,18,0,0,7,0,0.0,4,4,4,4,4,0,0,6,8,99999,5,0,0,0.0,0,0,1
131704,26,0,0.0,11,11,3,9,9,0,0,4,0,0.0,1,1,1,1,1,0,0,6,28,99999,4,0,0,0.0,0,0,1
60921,359,0,0.0,249,204,11,57,57,0,0,71,0,0.0,47,43,9,25,25,0,0,6,1,99999,7,0,0,0.0,0,0,1
132020,44,0,0.0,26,26,7,15,15,0,0,5,0,0.0,4,4,2,4,4,0,0,6,15,99999,6,0,0,0.0,0,0,1
149813,276,8,111.0,121,111,10,42,42,8,4,29,0,0.0,7,7,6,7,7,0,0,6,2,50,7,4,9,139.0,0,5,0
67359,1,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,3,120,99999,2,0,0,0.0,0,0,1
75374,27,0,0.0,3,3,3,3,3,0,0,0,0,0.0,0,0,0,0,0,0,0,5,37,99999,6,0,0,0.0,0,0,1
112996,246,2,80.0,181,140,10,51,51,2,2,59,0,0.0,46,33,7,19,19,0,0,6,2,35,7,2,2,80.0,0,1,0
51146,550,2,67.0,265,190,11,51,51,2,1,84,0,0.0,54,33,6,22,22,0,0,6,3,34,7,4,7,198.0,0,1,0
52858,119,0,0.0,62,60,10,32,32,0,0,18,0,0.0,9,9,5,8,8,0,0,6,2,99999,7,0,0,0.0,0,0,1
139492,21,0,0.0,19,19,6,12,12,0,0,7,0,0.0,7,7,3,4,4,0,0,6,2,99999,7,0,0,0.0,0,0,1
14001,82,0,0.0,41,41,8,22,22,0,0,15,0,0.0,5,5,1,4,4,0,0,6,9,99999,7,0,0,0.0,0,0,1
31877,57,0,0.0,29,29,8,18,19,0,0,6,0,0.0,1,1,1,1,1,0,0,6,1,131,7,2,3,83.0,0,0,1
7212,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,5,56,99999,3,0,0,0.0,0,0,1
32791,227,2,43.0,152,119,10,39,39,2,2,27,0,0.0,11,10,6,9,9,0,0,6,1,41,7,4,5,140.0,0,5,0
151786,117,0,0.0,54,51,9,27,27,0,0,10,0,0.0,5,5,5,5,5,0,0,6,7,164,7,1,1,25.0,0,0,1
8110,19,0,0.0,11,11,6,8,8,0,0,4,0,0.0,2,2,2,2,2,0,0,6,6,201,7,1,1,295.0,0,0,1
143267,19,0,0.0,9,9,3,6,6,0,0,0,0,0.0,0,0,0,0,0,0,0,5,42,99999,6,0,0,0.0,0,0,1
32470,2,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,3,107,99999,4,0,0,0.0,0,0,1
139585,23,0,0.0,12,12,6,9,9,0,0,8,0,0.0,3,3,2,3,3,0,0,6,3,99999,6,0,0,0.0,0,1,0
70073,43,0,0.0,40,39,7,28,28,0,0,0,0,0.0,0,0,0,0,0,0,0,4,69,99999,5,0,0,0.0,0,0,1
33958,4,0,0.0,3,3,3,3,3,0,0,1,0,0.0,1,1,1,1,1,0,0,6,29,99999,3,0,0,0.0,0,0,1
48687,13,0,0.0,6,5,2,4,4,0,0,1,0,0.0,0,0,0,0,0,0,0,6,30,208,6,1,1,15.0,0,1,0
50251,150,0,0.0,86,81,11,33,33,0,0,51,0,0.0,32,31,6,19,19,0,0,6,1,99999,7,0,0,0.0,0,3,0
129211,80,0,0.0,41,32,9,20,20,0,0,4,0,0.0,3,3,2,3,3,0,0,6,19,128,7,3,3,59.0,0,0,1
109311,44,2,23.0,33,31,9,21,21,2,1,4,0,0.0,2,2,1,2,2,0,0,6,16,52,7,2,2,23.0,0,0,1
112592,357,2,42.0,177,141,10,50,50,2,1,122,0,0.0,68,45,9,29,29,0,0,6,1,54,7,2,2,42.0,0,0,1
95749,43,0,0.0,29,29,9,19,19,0,0,1,0,0.0,1,1,1,1,1,0,0,6,26,99999,7,0,0,0.0,0,0,1
13314,39,5,73.0,30,28,9,20,20,5,3,18,3,48.0,14,13,7,10,10,3,2,6,1,6,5,2,5,73.0,0,3,0
36218,46,0,0.0,29,28,7,16,16,0,0,12,0,0.0,7,7,4,6,6,0,0,6,1,99999,7,0,0,0.0,0,1,0
131731,15,0,0.0,6,6,4,5,5,0,0,3,0,0.0,2,2,2,2,2,0,0,6,14,133,7,1,1,19.0,0,0,1
123394,20,0,0.0,16,16,4,8,8,0,0,2,0,0.0,2,2,1,2,2,0,0,6,11,99999,7,0,0,0.0,0,0,1
51360,63,0,0.0,33,33,9,18,18,0,0,12,0,0.0,6,6,5,6,6,0,0,6,2,99999,7,0,0,0.0,0,0,1
124351,36,0,0.0,13,13,5,8,8,0,0,13,0,0.0,4,4,2,4,4,0,0,6,6,99999,7,0,0,0.0,0,0,1
55352,418,0,0.0,206,189,10,52,54,0,0,108,0,0.0,43,41,10,24,24,0,0,6,1,99999,7,0,0,0.0,0,1,0
138335,209,0,0.0,151,135,11,42,43,0,0,40,0,0.0,24,20,6,15,15,0,0,6,2,99999,7,0,0,0.0,0,3,0
81655,100,0,0.0,69,65,9,29,29,0,0,14,0,0.0,11,11,6,9,9,0,0,6,5,99999,7,0,0,0.0,0,0,1
95710,239,0,0.0,187,184,11,52,53,0,0,59,0,0.0,51,51,10,30,31,0,0,6,2,131,7,1,1,18.0,0,0,1
72620,63,1,12.0,31,30,7,17,17,1,1,5,0,0.0,1,1,1,1,1,0,0,6,12,119,7,2,3,72.0,0,0,1
91302,94,2,62.0,58,57,9,27,28,2,1,34,0,0.0,17,17,7,11,12,0,0,6,1,41,7,1,2,62.0,0,0,1
94641,83,1,7.0,26,24,8,19,19,1,1,14,0,0.0,6,6,5,6,6,0,0,6,1,38,7,2,3,61.0,0,0,1
93416,218,2,36.0,154,132,10,40,40,2,1,97,0,0.0,73,61,8,26,26,0,0,6,1,106,7,3,6,84.0,0,7,0
12630,25,0,0.0,17,17,6,14,14,0,0,3,0,0.0,2,2,2,2,2,0,0,6,7,99999,7,0,0,0.0,0,0,1
37905,187,3,35.0,31,30,8,21,21,3,2,79,0,0.0,7,7,3,5,5,0,0,6,1,63,7,2,5,79.0,0,2,0
97715,33,0,0.0,26,26,7,15,15,0,0,3,0,0.0,2,2,2,2,2,0,0,6,2,99999,7,0,0,0.0,0,0,1
139916,201,1,5.0,137,135,10,44,44,1,1,41,0,0.0,32,32,9,19,19,0,0,6,1,85,7,1,1,5.0,0,0,1
10721,631,9,221.0,499,469,11,80,81,9,6,193,2,97.0,152,143,11,52,52,2,2,6,1,7,7,6,11,265.0,0,8,0
86181,2,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,95,99999,3,0,0,0.0,0,0,1
95876,75,0,0.0,40,40,11,26,26,0,0,7,0,0.0,4,4,2,4,4,0,0,6,29,155,7,2,2,95.0,0,0,1
128475,7,0,0.0,6,6,3,6,6,0,0,0,0,0.0,0,0,0,0,0,0,0,5,43,99999,4,0,0,0.0,0,0,1
44372,2,0,0.0,2,2,1,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,4,79,99999,3,0,0,0.0,1,0,1
148958,346,0,0.0,306,303,11,72,72,0,0,159,0,0.0,136,136,11,53,53,0,0,6,1,99999,7,0,0,0.0,0,0,1
34009,9,0,0.0,8,8,3,7,7,0,0,0,0,0.0,0,0,0,0,0,0,0,3,95,99999,4,0,0,0.0,1,0,1
84795,37,0,0.0,11,10,6,9,9,0,0,4,0,0.0,3,3,2,3,3,0,0,6,23,99999,7,0,0,0.0,0,0,1
67989,51,1,5.0,37,37,9,25,25,1,1,2,0,0.0,0,0,0,0,0,0,0,6,9,121,7,2,2,23.0,0,2,0
129687,563,9,154.0,306,300,10,64,64,9,4,64,2,43.0,38,37,9,19,19,2,1,6,2,20,7,5,11,217.0,0,1,0
66369,3,0,0.0,2,2,1,2,2,0,0,0,0,0.0,0,0,0,0,0,0,0,4,76,138,5,2,2,34.0,1,0,1
4712,284,2,84.0,173,121,9,40,40,2,1,56,1,9.0,28,21,6,14,14,1,1,6,2,21,7,5,5,144.0,0,0,1
35527,140,0,0.0,81,79,10,38,39,0,0,44,0,0.0,32,31,7,18,19,0,0,6,24,99999,7,0,0,0.0,0,1,0
7324,25,0,0.0,19,15,6,10,10,0,0,11,0,0.0,7,4,3,4,4,0,0,6,1,99999,6,0,0,0.0,0,1,0
141395,10,0,0.0,7,7,5,7,7,0,0,4,0,0.0,1,1,1,1,1,0,0,6,1,99999,7,0,0,0.0,0,0,1
10530,84,5,48.0,64,62,11,33,33,5,4,11,1,18.0,7,7,4,6,6,1,1,6,2,29,7,6,11,195.0,0,0,1
68001,2,0,0.0,1,1,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,5,40,99999,3,0,0,0.0,0,0,1
3043,40,0,0.0,28,28,8,16,16,0,0,3,0,0.0,3,3,2,3,3,0,0,6,1,99999,7,0,0,0.0,0,0,1
40156,41,2,37.0,32,30,10,17,17,2,2,5,0,0.0,3,3,3,3,3,0,0,6,9,122,7,3,4,83.0,0,0,1
76443,236,0,0.0,152,143,11,42,41,0,0,80,0,0.0,57,54,10,26,26,0,0,6,5,198,7,1,1,20.0,0,0,1
